# Scalar ASCII output created by CarpetIOScalar
# created on CynthiaMG by cynthia on Dec 20 2025 at 15:14:58-0600
# parameter filename: "/home/cynthia/simulations/tov_test/output-0000/tov_cynthia.par"
# Build ID: build-sim-CynthiaMG-cynthia-2025.12.15-20.44.05-243581
# Simulation ID: run-tov_cynthia-CynthiaMG-cynthia-2025.12.20-21.14.57-8067
# Run ID: run-tov_cynthia-CynthiaMG-cynthia-2025.12.20-21.14.57-8067
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
76288 596 0.00127887629941177
76800 600 0.00127911862244743
77312 604 0.0012793629231186
77824 608 0.00127959585149831
78336 612 0.00127979996525422
78848 616 0.00127994763128674
79360 620 0.00128002006144946
79872 624 0.00127999801017463
80384 628 0.00127990603580906
80896 632 0.00127978395919597
81408 636 0.00127964636003929
81920 640 0.00127951058804805
82432 644 0.00127936656891872
82944 648 0.00127921448180811
83456 652 0.00127905196586804
83968 656 0.00127891317323149
84480 660 0.00127883346769455
84992 664 0.00127882309457338
85504 668 0.00127888641806793
86016 672 0.00127902600483717
86528 676 0.00127924157070545
87040 680 0.00127951139926787
87552 684 0.00127980264739866
88064 688 0.00128009197160269
88576 692 0.00128038782731697
89088 696 0.00128069707936753
89600 700 0.00128100395025861
90112 704 0.00128127880716075
90624 708 0.00128151975563241
91136 712 0.0012817517389969
91648 716 0.00128199085239737
92160 720 0.00128226486397918
92672 724 0.00128257559851661
93184 728 0.00128292019118212
93696 732 0.00128330649683935
94208 736 0.00128374550340124
94720 740 0.00128421749094148
95232 744 0.00128466781449501
95744 748 0.00128502107275739
96256 752 0.0012852205990473
96768 756 0.00128523186448212
97280 760 0.00128505020302567
97792 764 0.00128470763310443
98304 768 0.00128424829298845
98816 772 0.00128372894208138
99328 776 0.00128320299553189
99840 780 0.00128274842366817
100352 784 0.00128242524666156
100864 788 0.00128225379039042
101376 792 0.00128221613052332
101888 796 0.00128229350859228
102400 800 0.00128245993414764
102912 804 0.00128269409422607
103424 808 0.00128296079800362
103936 812 0.00128322715440537
104448 816 0.00128348321336043
104960 820 0.00128372209898061
105472 824 0.00128394931972078
105984 828 0.00128415725443219
106496 832 0.00128435383494133
107008 836 0.00128455384469832
107520 840 0.00128476702565009
108032 844 0.00128501436648711
108544 848 0.00128531572596973
109056 852 0.00128569057387606
109568 856 0.00128613101583789
110080 860 0.00128661764243885
110592 864 0.0012871333970295
111104 868 0.00128765705232787
111616 872 0.00128814920914485
112128 876 0.00128854333414935
112640 880 0.00128879614811313
113152 884 0.00128889141834477
113664 888 0.00128884908079001
114176 892 0.00128870937945821
114688 896 0.00128850273220874
115200 900 0.00128825219503176
115712 904 0.00128799862602555
116224 908 0.00128778669490462
116736 912 0.00128764754480485
117248 916 0.00128757038753711
117760 920 0.00128753402552835
118272 924 0.00128752136412322
118784 928 0.00128751111557028
119296 932 0.00128748636793231
119808 936 0.00128743945217252
120320 940 0.00128737247406128
120832 944 0.00128730133285115
121344 948 0.00128724608686359
121856 952 0.00128722220735356
122368 956 0.00128725720972475
122880 960 0.00128736444151104
123392 964 0.0012875304943647
123904 968 0.00128771990580136
124416 972 0.00128792219105492
124928 976 0.00128815588890344
125440 980 0.00128841876243206
125952 984 0.00128868968350236
126464 988 0.00128895784670914
